,title,price,date,url
0,Стул дизайнерский от производителя в наличии,6800р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_dizaynerskiy_ot_proizvoditelya_v_nalichii_2089700100
1,Стол со стульями,10990р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stol_so_stulyami_1976451870
2,Стул и стол дизайнерский eames в наличии,1990р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_i_stol_dizaynerskiy_eames_v_nalichii_1286955403
3,Стол + 4 стула №048,11950р.,1 день назад,https://www.avito.ru//kazan/mebel_i_interer/stol_4_stula_048_2013976812
4,Стулья,300р.,2 дня назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_2081143663
5,Столы и стулья,15000р.,1 день назад,https://www.avito.ru//kazan/mebel_i_interer/stoly_i_stulya_1986627072
6,Стулья,550р.,2 дня назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_2107518582
7,Стул дизайнерский от производителя в наличии,6800р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_dizaynerskiy_ot_proizvoditelya_v_nalichii_2089700100
8,Стул и стол дизайнерский eames в наличии,1990р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_i_stol_dizaynerskiy_eames_v_nalichii_1286955403
9,Стол со стульями,10990р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stol_so_stulyami_1976451870
10,Стулья Новые Рассрочка,6999р.,11 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_novye_rassrochka_2105899719
11,Стулья 3 шт,1000р.,1 день назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_3_sht_2094362849
12,Стул складной IKEA,300р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_skladnoy_ikea_2106545507
13,Стол + 4 стула №048,11950р.,1 день назад,https://www.avito.ru//kazan/mebel_i_interer/stol_4_stula_048_2013976812
14,Барные стулья в наличии,3900р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/barnye_stulya_v_nalichii_1865854746
15,Столы и стулья,15000р.,1 день назад,https://www.avito.ru//kazan/mebel_i_interer/stoly_i_stulya_1986627072
16,Барные стулья в наличии,3900р.,14 часов назад,https://www.avito.ru//kazan/mebel_i_interer/barnye_stulya_v_nalichii_1865854746
17,Стул,500р.,11 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_2095963713
18,Стулья с каретной стяжкой,4500р.,1 день назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_s_karetnoy_styazhkoy_2015389004
19,Стул для кормления,3000р.,6 часов назад,https://www.avito.ru//kazan/tovary_dlya_detey_i_igrushki/stul_dlya_kormleniya_2025750001
20,Стулья из массива дерева,3500р.,11 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_iz_massiva_dereva_2096817158
21,Стул,650р.,15 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_2078098738
22,Стул,1550р.,1 день назад,https://www.avito.ru//kazan/mebel_i_interer/stul_1875094676
23,Стул,4000р.,7 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_2067798312
24,Стулья новые/ гарантия/ собственное производство,6990р.,6 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_novye_garantiya_sobstvennoe_proizvodstvo_2105298420
25,Стулья,3500р.,6 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_2059585723
26,Стул,11000р.,12 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stul_2129412064
27,Стул мастера,2490р.,9 часов назад,https://www.avito.ru//kazan/krasota_i_zdorove/stul_mastera_1897837439
28,Стул для кормления,4000р.,1 день назад,https://www.avito.ru//kazan/tovary_dlya_detey_i_igrushki/stul_dlya_kormleniya_2096097471
29,Стул для кормления happy baby,3000р.,5 часов назад,https://www.avito.ru//kazan/tovary_dlya_detey_i_igrushki/stul_dlya_kormleniya_happy_baby_2080340203
30,Стул,р.,3 часа назад,https://www.avito.ru//kazan/mebel_i_interer/stul_2111731902
31,Стул венский,500р.,1 час назад,https://www.avito.ru//kazan/mebel_i_interer/stul_venskiy_2092714702
32,Стулья любой по 990 новые,990р.,8 часов назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_lyuboy_po_990_novye_1891484450
33,Стул,200р.,3 дня назад,https://www.avito.ru//kazan/mebel_i_interer/stul_2088432404
34,Стулья дачная мебель,2400р.,3 часа назад,https://www.avito.ru//kazan/mebel_i_interer/stulya_dachnaya_mebel_2086632829
