,title,price,date,url
0,Апельсин,300р.,19 часов назад,https://www.avito.ru//kazan/rasteniya/apelsin_2029233406
1,Апельсин красный,130р.,6 дней назад,https://www.avito.ru//kazan/produkty_pitaniya/apelsin_krasnyy_2095856394
2,Апельсин,300р.,1 день назад,https://www.avito.ru//kazan/rasteniya/apelsin_2044028821
3,Апельсин,90р.,5 дней назад,https://www.avito.ru//kazan/produkty_pitaniya/apelsin_2059532054
4,Апельсин,85р.,1 неделю назад,https://www.avito.ru//kazan/produkty_pitaniya/apelsin_2094962838
5,"Поликарбонат ""Апельсин-88"" парт.№56/54",1670р.,5 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/polikarbonat_apelsin-88_part.5654_1569203750
6,"Лимоны, апельсины, мандарины",1100р.,5 дней назад,https://www.avito.ru//kazan/rasteniya/limony_apelsiny_mandariny_2029513917
7,"Поликарбонат ""Апельсин-оранж"" арт.№36",1620р.,1 день назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/polikarbonat_apelsin-oranzh_art.36_2033577859
8,Заводной апельсин трепет намерения,100р.,1 неделю назад,https://www.avito.ru//kazan/knigi_i_zhurnaly/zavodnoy_apelsin_trepet_namereniya_1943418379
9,Цитрусовое дерево апельсина,1500р.,6 дней назад,https://www.avito.ru//kazan/rasteniya/tsitrusovoe_derevo_apelsina_2008688991
10,Полироль пластика Complex (апельсин) 1л,230р.,15 часов назад,https://www.avito.ru//kazan/zapchasti_i_aksessuary/polirol_plastika_complex_apelsin_1l_1831776351
11,"Рулонная штора, Апельсин, 83х170 см",671р.,none,https://www.avito.ru//moskva/mebel_i_interer/rulonnaya_shtora_apelsin_83h170_sm_2056923417?slocation=650400
12,Соковыжималка для апельсинов,200р.,1 неделю назад,https://www.avito.ru//kazan/bytovaya_tehnika/sokovyzhimalka_dlya_apelsinov_1903522125
13,Скетчбук. Апельсин,148р.,none,https://www.avito.ru//moskva/orgtehnika_i_rashodniki/sketchbuk._apelsin_2029244694?slocation=650400
14,"Рулонная штора, Апельсин, 68х170 см",596р.,none,https://www.avito.ru//moskva/mebel_i_interer/rulonnaya_shtora_apelsin_68h170_sm_2057792507?slocation=650400
15,"Мыло туалетное ""Сладкий апельсин""",218р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/mylo_tualetnoe_sladkiy_apelsin_2061895422?slocation=650400
16,"Зубная паста детская ""Апельсин и гранат""",264р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/zubnaya_pasta_detskaya_apelsin_i_granat_2061031545?slocation=650400
17,"Деко-букет Botavikos ""Апельсин + Корица"" (Интерьерные духи), 100 мл",419р.,none,https://www.avito.ru//moskva/mebel_i_interer/deko-buket_botavikos_apelsin_koritsa_interernye_duhi_100_ml_2029575764?slocation=650400
18,Сайдинг виниловый цв апельсин,139р.,3 недели назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/sayding_vinilovyy_tsv_apelsin_742456071
19,Эфирное масло дикого апельсина Дотерра,790р.,1 неделю назад,https://www.avito.ru//kazan/krasota_i_zdorove/efirnoe_maslo_dikogo_apelsina_doterra_1895827799
20,Свеча в виде апельсина,50р.,5 дней назад,https://www.avito.ru//kazan/mebel_i_interer/svecha_v_vide_apelsina_2053224210
21,"Детский шампунь-гель для волос и тела Weleda ""Апельсин"", 150 мл",584р.,none,https://www.avito.ru//moskva/tovary_dlya_detey_i_igrushki/detskiy_shampun-gel_dlya_volos_i_tela_weleda_apelsin_150_ml_2029495111?slocation=650400
22,"Набор для изготовления мыла ""Рукодельное мыло. Апельсин""",162р.,none,https://www.avito.ru//moskva/tovary_dlya_detey_i_igrushki/nabor_dlya_izgotovleniya_myla_rukodelnoe_mylo._apelsin_2061136656?slocation=650400
23,Карнавальный костюм Балаган Апельсин (12-00325),1683р.,none,https://www.avito.ru//moskva/detskaya_odezhda_i_obuv/karnavalnyy_kostyum_balagan_apelsin_12-00325_2018800699?slocation=650400
24,Подарочная корзинка с апельсинами с доставкой,2000р.,1 неделю назад,https://www.avito.ru//kazan/produkty_pitaniya/podarochnaya_korzinka_s_apelsinami_s_dostavkoy_2099050772
25,"Эфирное масло ""Апельсин сладкий"", 5 мл",197р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/efirnoe_maslo_apelsin_sladkiy_5_ml_2061674236?slocation=650400
26,"Скраб для лица и тела Ecolab ""Кофе и апельсин. Свежесть и тонус"", 40 грамм",100р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/skrab_dlya_litsa_i_tela_ecolab_kofe_i_apelsin._svezhest_i_tonus_40_gramm_2029181335?slocation=650400
27,"Горячее обёртывание ""letique"" корица апельсин",800р.,6 дней назад,https://www.avito.ru//kazan/krasota_i_zdorove/goryachee_obertyvanie_letique_koritsa_apelsin_2091654776
28,"Ароматизатор подвесной пластик ""Сочный фрукт"" апельсин airline",85р.,none,https://www.avito.ru//sankt-peterburg/zapchasti_i_aksessuary/aromatizator_podvesnoy_plastik_sochnyy_frukt_apelsin_airline_2081014437?slocation=650400
29,"Isotonic concentrate Апельсин, 500 мл",859р.,none,https://www.avito.ru//sankt-peterburg/krasota_i_zdorove/isotonic_concentrate_apelsin_500_ml_2006894172?slocation=650400
30,Книга Э. Бёрджесс «Заводной апельсин»,100р.,1 неделю назад,https://www.avito.ru//kazan/knigi_i_zhurnaly/kniga_e._berdzhess_zavodnoy_apelsin_2011043956
31,"Ватные палочки Bella Cotton Care с Д-пантенолом и экстрактом из цветка апельсина, контейнер, 200 шт/уп",135р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/vatnye_palochki_bella_cotton_care_s_d-pantenolom_i_ekstraktom_iz_tsvetka_apelsina_konteyner_200_shtup_2107623654?slocation=650400
32,"BabyLine Зубная паста со вкусом апельсина 2+, 75 мл",180р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/babyline_zubnaya_pasta_so_vkusom_apelsina_2_75_ml_2107271285?slocation=650400
33,"Fa Жидкое мыло Чистота и Уход Аромат Цитруса Апельсин,Грейпфрут 250мл",195р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/fa_zhidkoe_mylo_chistota_i_uhod_aromat_tsitrusa_apelsingreypfrut_250ml_2107726355?slocation=650400
34,Книги о любви / женские романы 12 книг за апельсин,р.,1 неделю назад,https://www.avito.ru//kazan/knigi_i_zhurnaly/knigi_o_lyubvi_zhenskie_romany_12_knig_za_apelsin_1854360794
35,"Volkswagen Polo, 2014",389550р.,2 часа назад,https://www.avito.ru//kazan/avtomobili/volkswagen_polo_2014_2107465561
36,"Эфирное масло ""Апельсин"" (25 мл)",116р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/efirnoe_maslo_apelsin_25_ml_2028938690?slocation=650400
37,Книга дженет уинтерсон - не только апельсины,200р.,2 недели назад,https://www.avito.ru//kazan/knigi_i_zhurnaly/kniga_dzhenet_uinterson_-_ne_tolko_apelsiny_2101745628
38,Соковыжималка для апельсинов,100000р.,3 недели назад,https://www.avito.ru//kazan/oborudovanie_dlya_biznesa/sokovyzhimalka_dlya_apelsinov_2056173651
39,"Гель для душа Цветочно-фруктовая линия ""Цветущий апельсин"", 520 мл",147р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/gel_dlya_dusha_tsvetochno-fruktovaya_liniya_tsvetuschiy_apelsin_520_ml_2029795821?slocation=650400
40,"Шампунь Garnier ""Botanic Therapy. Масло чайного дерева, цветки апельсина, алоэ вера"", для нормальных и склонных к жирности волос, 400 мл",254р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/shampun_garnier_botanic_therapy._maslo_chaynogo_dereva_tsvetki_apelsina_aloe_vera_dlya_normalnyh_i_sklonnyh_k_zhirnosti_volos_400_ml_2060948765?slocation=650400
41,"Гель для душа ""Сладкий апельсин"", 200 мл",558р.,none,https://www.avito.ru//moskva/krasota_i_zdorove/gel_dlya_dusha_sladkiy_apelsin_200_ml_2061036988?slocation=650400
42,Цветная глазурь,350р.,17 часов назад,https://www.avito.ru//kazan/produkty_pitaniya/tsvetnaya_glazur_1848707879
43,"KIA Rio, 2015",409000р.,3 минуты назад,https://www.avito.ru//kazan/avtomobili/kia_rio_2015_2103144517
44,"LADA Vesta, 2016",489000р.,12 минут назад,https://www.avito.ru//kazan/avtomobili/lada_vesta_2016_2103899579
45,"LADA Granta, 2018",399900р.,3 часа назад,https://www.avito.ru//kazan/avtomobili/lada_granta_2018_2075874441
