,title,price,date,url
0,"Дублёнка"" ильдан""",1000р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/dublenka_ildan_770734237
1,Мутоновая шуба -ильдан,1800р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/mutonovaya_shuba_-ildan_2078163879
2,Пальто-100шерсть ильдан,700р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto-100sherst_ildan_1406460402
3,Шуба мут.новая,10000р.,2 часа назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_mut.novaya_2031383586
4,Шуба,3000р.,1 день назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_1333930267
5,Пальто женское теплое с меховым воротником,1499р.,6 дней назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_zhenskoe_teploe_s_mehovym_vorotnikom_1915276366
6,Шуба норковая,27000р.,18 часов назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_norkovaya_2031954581
7,Дублёнка натуральная (новая),9500р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/dublenka_naturalnaya_novaya_925709744
8,Шубка мутоновая фабричная на девочку,3000р.,3 дня назад,https://www.avito.ru//kazan/detskaya_odezhda_i_obuv/shubka_mutonovaya_fabrichnaya_na_devochku_2075162848
9,Меховая жилетка,17000р.,5 часов назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/mehovaya_zhiletka_1350864176
10,Пальто осень - весна,5000р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_osen_-_vesna_2069081815
11,Шуба норковая,11000р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_norkovaya_2066330013
12,Шуба,6500р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_2062957136
13,Шуба,2000р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_940381479
14,Пальто,1000р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_2012221516
15,"Шуба из каракуля, коричневая, размер 48-50",8500р.,5 дней назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_iz_karakulya_korichnevaya_razmer_48-50_2041580442
16,Шуба норковая 44-46 автоледи,3600р.,5 дней назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_norkovaya_44-46_avtoledi_2069419855
17,Пальто зимнее,1900р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_zimnee_2103074672
18,Дубленка натуральная,700р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/dublenka_naturalnaya_1883102503
19,Дубленка мужская овчина,700р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/dublenka_muzhskaya_ovchina_2021496556
20,Полушубок мутоновый с капюшоном,500р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/polushubok_mutonovyy_s_kapyushonom_109753529
21,Шуба мутоновая с капюшоном,4000р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_mutonovaya_s_kapyushonom_2054822106
22,Шуба мутон и норка,3000р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_muton_i_norka_2060712795
23,Шуба мутон,5799р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_muton_2068747717
24,Концертное платье,350р.,3 недели назад,https://www.avito.ru//kazan/detskaya_odezhda_i_obuv/kontsertnoe_plate_1844507776
25,Пальто женское зимнее,3000р.,5 дней назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_zhenskoe_zimnee_2095048510
26,Демисезонное пальто с запахом,5000р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/demisezonnoe_palto_s_zapahom_1235337303
27,Пальто,290р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_1983514747
28,Платье,2500р.,6 дней назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/plate_2017731887
29,Шуба енотовая,15000р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_enotovaya_2074116086
30,Норковая шуба для прекрасной леди,18000р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/norkovaya_shuba_dlya_prekrasnoy_ledi_2031308530
31,Жилетка из песца,5000р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/zhiletka_iz_pestsa_2056902441
32,Шуба,1000р.,31 января 16:07,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_658580023
33,Пальто,1900р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_2034734101
34,Пальто зимнее,2500р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_zimnee_962707865
35,Пальто мужское,2500р.,1 февраля 21:36,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_muzhskoe_1396836604
36,Пальто зимнее,5500р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_zimnee_1840410883
37,Пальто,500р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_1217599495
38,Шуба,7000р.,3 дня назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_1997961255
39,Унты из натурального меха,3500р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/unty_iz_naturalnogo_meha_2036688423
40,Шуба норковая с капюшоном,21000р.,1 февраля 13:26,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_norkovaya_s_kapyushonom_2058802351
41,Пальто осеннее,2000р.,2 февраля 10:15,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_osennee_1988344241
42,Мутоновая шуба,3000р.,1 февраля 22:56,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/mutonovaya_shuba_942354411
43,Жилет из чернобурки,4500р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/zhilet_iz_chernoburki_681646249
44,Шуба мутон,5000р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_muton_2032365913
45,Пальто зимнее,3000р.,2 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/palto_zimnee_1040084173
46,Кубанка из песца,2500р.,5 дней назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/kubanka_iz_pestsa_1862320669
47,Плащ мужской натур.кожа ягнёнка,1500р.,31 января 20:38,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/plasch_muzhskoy_natur.kozha_yagnenka_1953439835
48,Шуба мутон,2000р.,3 недели назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/shuba_muton_2067247414
49,Норковая шуба,35000р.,1 неделю назад,https://www.avito.ru//kazan/odezhda_obuv_aksessuary/norkovaya_shuba_2081044508
