,title,price,date,url
0,"Кирпич облицовочный всех видов Арский,Кощаково",9р.,6 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_vseh_vidov_arskiykoschakovo_1865483698
1,"Декоративный кирпич, плитка, камень (гибкий)",750р.,3 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/dekorativnyy_kirpich_plitka_kamen_gibkiy_2088599137
2,"Кирпич облицовочный Арск Кощаково,Магма,Керма Алек",15р.,3 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_arsk_koschakovomagmakerma_alek_1763249850
3,Кирпич красный цокольный с доставкой,8р.,3 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_krasnyy_tsokolnyy_s_dostavkoy_1949606520
4,Кирпич цокольный полнотелый обожжённый,8р.,3 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_tsokolnyy_polnotelyy_obozhzhennyy_1833805726
5,Кирпич Воткинск в пачках по 320 шт,11р.,3 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_votkinsk_v_pachkah_po_320_sht_1923486290
6,Кирпич,11р.,21 минуту назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1958886013
7,Кирпич Воткинский цокольный полнотелый м-100,7р.,5 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_votkinskiy_tsokolnyy_polnotelyy_m-100_1929505510
8,Кирпич силикатный полнотелый,р.,3 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_silikatnyy_polnotelyy_1931730425
9,"Кирпич облицовочный всех видов Арский,Кощаково",9р.,6 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_vseh_vidov_arskiykoschakovo_1865483698
10,Кирпич,7р.,4 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1958517169
11,Кирпич силикатный цветной,13р.,5 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_silikatnyy_tsvetnoy_1833763536
12,"Кирпич ""Арский"" красный",10р.,1 день назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_arskiy_krasnyy_1776862799
13,"Кирпич облицовочный всех видов Ключищи,Кощаково",10р.,6 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_vseh_vidov_klyuchischikoschakovo_95526436
14,"Кирпич облицовочный Арск Кощаково,Магма,Керма Алек",15р.,3 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_arsk_koschakovomagmakerma_alek_1763249850
15,"Кирпич Арский облицовочный,керамический,пустотелый",10р.,4 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_arskiy_oblitsovochnyykeramicheskiypustotelyy_1951693254
16,Кирпич шамотный,10р.,16 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_shamotnyy_296457
17,Кирпич облицовочный,11р.,4 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_1976845729
18,Кирпич облицовочный,13р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_1934624915
19,Кирпич,р.,4 минуты назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_2076816558
20,Кирпич,р.,34 минуты назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_2076002533
21,Кирпич,р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1779409637
22,Кирпич,20р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1961945937
23,Кирпич,р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_2076843588
24,Кирпич,17р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962651900
25,Кирпич,19р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962872695
26,Кирпич керма,р.,5 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_kerma_1843837188
27,Кирпич облицовочный,15р.,4 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_1976696169
28,Кирпич облицовочный Кирово-Чепецкий,17р.,9 минут назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_kirovo-chepetskiy_2096516939
29,Кирпич,10р.,3 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1929676318
30,Кирпич,24р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1961931480
31,Кирпич,23р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1961938866
32,Кирпич силикатный,8р.,9 минут назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_silikatnyy_2103815453
33,Кирпич,23р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962921338
