,title,price,date,url
0,Кирпич цокольный полнотелый обожжённый,8р.,4 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_tsokolnyy_polnotelyy_obozhzhennyy_1833805726
1,"Кирпич облицовочный Арск Кощаково,Магма,Керма Алек",15р.,3 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_arsk_koschakovomagmakerma_alek_1763249850
2,Кирпич красный цокольный с доставкой,8р.,4 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_krasnyy_tsokolnyy_s_dostavkoy_1949606520
3,Кирпич Воткинск в пачках по 320 шт,11р.,4 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_votkinsk_v_pachkah_po_320_sht_1923486290
4,Кирпич,11р.,1 час назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1958886013
5,Кирпич Керма облицовочный,р.,2 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_kerma_oblitsovochnyy_1923190804
6,Кирпич,7р.,5 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1958517169
7,"Кирпич облицовочный всех видов Арский,Кощаково",9р.,6 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_vseh_vidov_arskiykoschakovo_1865483698
8,"Кирпич облицовочный Арск Кощаково,Магма,Керма Алек",15р.,3 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_arsk_koschakovomagmakerma_alek_1763249850
9,Кирпич Воткинский цокольный полнотелый м-100,7р.,5 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_votkinskiy_tsokolnyy_polnotelyy_m-100_1929505510
10,"Кирпич ""Арский"" красный",10р.,1 день назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_arskiy_krasnyy_1776862799
11,Кирпич силикатный цветной,13р.,6 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_silikatnyy_tsvetnoy_1833763536
12,Кирпич шамотный,10р.,17 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_shamotnyy_296457
13,"Керамический блок, Кирпич Двойной, Газобетон",88р.,6 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/keramicheskiy_blok_kirpich_dvoynoy_gazobeton_1943126949
14,"Кирпич облицовочный всех видов Ключищи,Кощаково",10р.,6 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_vseh_vidov_klyuchischikoschakovo_95526436
15,Кирпич цокольный полнотелый обожжённый,8р.,4 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_tsokolnyy_polnotelyy_obozhzhennyy_1833805726
16,"Кирпич облицовочный всех видов Арский,Кощаково",9р.,6 дней назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_vseh_vidov_arskiykoschakovo_1865483698
17,Кирпич,10р.,10 минут назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962462373
18,Кирпич,15р.,11 минут назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1976133620
19,Кирпич облицовочный,11р.,5 часов назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_1976845729
20,Кирпич,18р.,4 минуты назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962402976
21,Кирпич,13р.,32 минуты назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_2076895830
22,Кирпич,17р.,3 минуты назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962068391
23,Кирпич,61р.,4 минуты назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962133618
24,Кирпич облицовочный,13р.,3 часа назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_oblitsovochnyy_1934624915
25,Кирпич,61р.,5 минут назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962346675
26,Кирпич,13р.,8 минут назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962124575
27,Кирпич,19р.,8 минут назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_1962246762
28,Кирпич силикатный полнотелый,р.,3 дня назад,https://www.avito.ru//kazan/remont_i_stroitelstvo/kirpich_silikatnyy_polnotelyy_1931730425
